GOODS_NAME,SHOP_NAME,PICTURE_URL,GOODS_PRICE,SHOP_URL,GOODS_URL
"
谜秀显瘦欧根纱甜美无袖刺绣a字裙
",谜秀旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1dxCxKFXXXXbMXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,98,http://mixiufushi.tmall.com,http://detail.tmall.com/item.htm?id=531504122637&skuId=3169652340097&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=776109305&is_b=1
"
文艺修身百搭大码棉上衣
",听香水榭服饰旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1ogq5MpXXXXbAaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://txsx.tmall.com,http://detail.tmall.com/item.htm?id=529804161988&skuId=3156664594914&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1983787043&is_b=1
"
JOSLAN/乔士兰防晒衣女长袖短款防紫外线外套夏季情侣空调衫上衣
",乔士兰旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1eutOKFXXXXc9XFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://joslan.tmall.com,http://detail.tmall.com/item.htm?id=529421571047&skuId=3185563272096&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2080266083&is_b=1
"
夏季韩版雪纺中长两件套
",甜蜜丽莎旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1rp3zLpXXXXcoaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://tianmilisha.tmall.com,http://detail.tmall.com/item.htm?id=530445768003&skuId=3159570684241&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2003880722&is_b=1
"
学生白色弹力毛边韩版显瘦阔腿热裤
",attainluxury奢臻旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1DjD4KFXXXXbSXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://shezhen.tmall.com,http://detail.tmall.com/item.htm?id=528287365243&skuId=3144679781484&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2636625871&is_b=1
"
熙世界夏季棉质修身印花简约白色t恤
",sllsky服饰旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1EBm.MpXXXXa0XXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,79,http://sllsky.tmall.com,http://detail.tmall.com/item.htm?id=528701231522&skuId=3186111266675&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=765398871&is_b=1
"
韩版夏季白色纯棉修身纯色打底衫
",引想旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB12h2_MXXXXXbjXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://yinxiangfs.tmall.com,http://detail.tmall.com/item.htm?id=529007735794&skuId=3184630740651&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1922304139&is_b=1
"
短袖t恤女夏季韩国上衣女装夏装2016新款潮宽松卡通衣服小衫体恤
",歌莉韵旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1xQOxMpXXXXcTXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://geliyun.tmall.com,http://detail.tmall.com/item.htm?id=529305650683&skuId=3156029176491&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1723145627&is_b=1
"
smbath韩版显瘦大码宽松破洞哈伦裤
",smbath旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1DI4SMXXXXXXdXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://smbath.tmall.com,http://detail.tmall.com/item.htm?id=528578056856&skuId=3146777733442&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2096591254&is_b=1
"
雪纺衫女2016夏季女装薄开衫外套大码空调衫中长款防紫外线防晒衣
",皇梦旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1HEkmIXXXXXXpXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://huangmeng.tmall.com,http://detail.tmall.com/item.htm?id=520019940125&skuId=3100091848503&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=718442662&is_b=1
"
韩版修身大码中长露肩雪纺a字裙
",阿莎露旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB196WTJFXXXXX8apXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://ashalu.tmall.com,http://detail.tmall.com/item.htm?id=531275678576&skuId=3167536281396&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2199028539&is_b=1
"
迹异高腰韩版大码春夏女裤
",jiyi旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1zLtDKFXXXXXKXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://jynvzhuang.tmall.com,http://detail.tmall.com/item.htm?id=532848655187&skuId=3186431680025&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2005537184&is_b=1
"
高腰宽松卷边大码显瘦阔腿学生热裤
",杜凡尔顿旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1ABgBMpXXXXXuXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://dufanerdun.tmall.com,http://detail.tmall.com/item.htm?id=529523101589&skuId=3154305314187&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2109674620&is_b=1
"
针织衫开衫女夏外搭短款中袖防晒衫女针织衫披肩夏季空调衫女薄款
",宜朵旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1cTJRMpXXXXbAXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,46,http://yido.tmall.com,http://detail.tmall.com/item.htm?id=529457867469&skuId=3153980991652&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=732277767&is_b=1
"
中老年女装夏装套装妈妈装雪纺衫短袖衣服中年妇女t恤40-50岁上衣
",朵莹旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1YsPQKpXXXXXWXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,78,http://duoyeree.tmall.com,http://detail.tmall.com/item.htm?id=530524758332&skuId=3180691688642&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2128224999&is_b=1
"
韩版破洞浅色高腰毛边阔腿显瘦宽松裤
",妮港旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1FvDKKpXXXXXMXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://nigang.tmall.com,http://detail.tmall.com/item.htm?id=530958002592&skuId=3164321930954&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1031344317&is_b=1
"
韩版破洞浅色高腰毛边阔腿显瘦宽松裤
",,,,,
"
防晒衣女夏2016新品短款长袖连帽超薄透气韩版外套大码沙滩服开衫
",韩盈旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB12REOHVXXXXc0XpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,89,http://hanyingnz.tmall.com,http://detail.tmall.com/item.htm?id=530552395385&skuId=3161366104724&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1986663491&is_b=1
"
新款短袖T恤女夏装韩范宽松字母流苏潮体恤小衫打底衫半袖女上衣
",歌慕妮旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1T9JEJVXXXXX2XXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://gemuni.tmall.com,http://detail.tmall.com/item.htm?id=531602354170&skuId=3170484501805&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1734524150&is_b=1
"
唐狮纯棉圆领宽松印花图案白色t恤
",唐狮官方旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1UWgkKFXXXXXZXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://tonlion.tmall.com,http://detail.tmall.com/item.htm?id=527891117901&skuId=3153002627882&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=188124207&is_b=1
"
中老年女装短袖t恤夏妈妈装夏装套装40-50岁老年人套装上衣+裤子
",水夕旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1XL.yJVXXXXbQXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,89,http://shuixi.tmall.com,http://detail.tmall.com/item.htm?id=528582710130&skuId=3147089793223&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1788999852&is_b=1
"
维蒙e族高腰牛仔弹力学院风直筒裤
",维蒙e族旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1KSgMHVXXXXbxXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://weimengezu.tmall.com,http://detail.tmall.com/item.htm?id=528746149913&skuId=3147852783757&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2090366215&is_b=1
"
名驭a字开叉韩版显瘦春夏一步裙
",名驭旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1R_AeLFXXXXbCXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,79,http://zzmingyu.tmall.com,http://detail.tmall.com/item.htm?id=527372762894&skuId=3138092245835&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=775957734&is_b=1
"
修身夏季高腰宽松九分裤
",lt旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1pziiKFXXXXaOXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://likenertrend.tmall.com,http://detail.tmall.com/item.htm?id=526515203110&skuId=3134630219217&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2189989053&is_b=1
"
夏季韩版刺绣时尚显瘦薄款女士牛仔裤
",前途旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1UrkpKXXXXXbUXVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://qiantu.tmall.com,http://detail.tmall.com/item.htm?id=530776179953&skuId=3163185134136&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1991993598&is_b=1
"
连帽韩版宽松大码沙滩服
",韩盈旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1isG9KXXXXXX9XVXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,89,http://hanyingnz.tmall.com,http://detail.tmall.com/item.htm?id=532810987159&skuId=3179050805205&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1986663491&is_b=1
"
裂帛春夏圆领贴布刺绣针织修身t恤
",裂帛服饰旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1gJsULpXXXXcJXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,99.8,http://ripfs.tmall.com,http://detail.tmall.com/item.htm?id=526430232967&skuId=3159386936563&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=228784630&is_b=1
"
中老年女装40-50岁妈妈装夏装中年女士t恤短袖上衣大码套装雪纺衫
",mitchsheeps旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1y.QzKpXXXXXYXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,68,http://miqiyang.tmall.com,http://detail.tmall.com/item.htm?id=528882853170&skuId=3154763319335&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2037199942&is_b=1
"
防紫外线 防晒衣女2016夏装新款空调衫长袖大码沙滩服 短外套女装
",云绣尚中旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1lx8AJVXXXXbCXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://yunxiushangzhong.tmall.com,http://detail.tmall.com/item.htm?id=529460255621&skuId=3154512777106&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=1609494717&is_b=1
"
休闲裤女修身九分裤女小脚裤女夏白色西装裤薄款黑色铅笔裤OL西裤
",伊蓝访旗舰店,http://img.alicdn.com/bao/uploaded/i1/TB1TVDrKpXXXXbAXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,59,http://yilanfang.tmall.com,http://detail.tmall.com/item.htm?id=39341522886&skuId=97806244450&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2094789332&is_b=1
"
夏季薄款高腰宽松修身显瘦西裤
",秀之都旗舰店,http://img.alicdn.com/bao/uploaded/i2/TB1RI3zIVXXXXXuXVXXXXXXXXXX_!!2-item_pic.png_b.jpg,59,http://xiuzhidu.tmall.com,http://detail.tmall.com/item.htm?id=530644998912&skuId=3161486574447&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2212611225&is_b=1
"
乐库优弹力透气高腰流苏9分女裤
",乐库优旗舰店,http://img.alicdn.com/bao/uploaded/i4/TB1iN7mMXXXXXcIXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,49,http://lekuyou.tmall.com,http://detail.tmall.com/item.htm?id=529210382545&skuId=3151569059610&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=862865312&is_b=1
"
韩版黑色破洞薄款高腰弹力显瘦铅笔裤
",依站到底旗舰店,http://img.alicdn.com/bao/uploaded/i3/TB1PKkWJFXXXXbkaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,69,http://yizhandaodi.tmall.com,http://detail.tmall.com/item.htm?id=528011027516&skuId=3142762755289&areaId=440300&cat_id=50025135&rn=1da858155cecf88ae029e0650f824fa5&user_id=2261899786&is_b=1
